FOOD_ID,F_NAME,F_TYPE,F_NUTR,F_ENERGY,F_PROTEIN,F_PROVINCE,F_CARBO,F_SUGAR,F_SODIUM,F_COL,F_SAT,F_TRANS,F_PRICE,F_IMG,CREATED_AT,F_TAGS
SD-110,건갈치조림,반찬,74.6,71.6,11.2,3.68,3.68,1.9,1051,45.24,1,0,2375,/image/side_image/건갈치조림.png,2025-04-11 14:57:22,"['조림요리', '중지방', '중간당', '고단백', '저칼로리']"
SD-111,고구마조림,반찬,97,162,2.5,0.61,38.53,10.99,848,0,0.13,0,750,/image/side_image/고구마조림.png,2025-04-11 14:57:22,"['조림요리', '저지방', '고당', '중간칼로리', '저단백', '고구마']"
SD-112,곤약조림,반찬,122.9,38.1,0.8,1.46,5.19,1.5,235,0,0.23,0,1125,/image/side_image/곤약조림.png,2025-04-11 14:57:23,"['조림요리', '저지방', '저단백', '중간당', '저칼로리', '곤약']"
SD-113,꽈리고추조림_멸치,반찬,80,45.6,7.1,1.21,4.7,1.24,460,63.41,0.28,0,1750,/image/side_image/꽈리고추조림_멸치.png,2025-04-11 14:57:23,"['조림요리', '저지방', '중간당', '멸치', '저칼로리', '매운맛', '중단백']"
SD-114,다시마조림,반찬,64.2,38.5,3.1,3.35,6.96,0.96,501,0,0.51,0,1125,/image/side_image/다시마조림.png,2025-04-11 14:57:23,"['조림요리', '중지방', '저당', '저칼로리', '중단백']"
SD-115,단호박조림,반찬,100,71,2.2,0.94,15.15,4.38,815,0,0.16,0,1125,/image/side_image/단호박조림.png,2025-04-11 14:57:23,"['조림요리', '저지방', '호박', '저단백', '중간당', '저칼로리']"
SD-116,도루묵조림,반찬,123.2,126.9,11.3,3.09,5.73,1.7,314,62.99,0.66,0,2125,/image/side_image/도루묵조림.png,2025-04-11 14:57:23,"['조림요리', '중지방', '중간칼로리', '중간당', '고단백']"
SD-117,마늘쫑조림_멸치,반찬,50,30,4.7,1.05,9.13,3.1,360,11.94,0.2,0,1875,/image/side_image/마늘쫑조림_멸치.png,2025-04-11 14:57:23,"['조림요리', '저지방', '중간당', '멸치', '저칼로리', '중단백']"
SD-118,모듬 콩조림,반찬,15,27.2,11.1,9.11,15.38,3.85,321,0,1.55,0,750,/image/side_image/모듬 콩조림.png,2025-04-11 14:57:23,"['조림요리', '콩', '중간당', '고단백', '저칼로리', '고지방']"
SD-119,콩조림,반찬,95,188.1,13.5,6.44,22.36,6.45,620,0,0.95,0,875,/image/side_image/콩조림.png,2025-04-11 14:57:23,"['조림요리', '중지방', '고당', '콩', '중간칼로리', '고단백']"
SD-120,마늘쫑조림,반찬,46.1,100,4.9,10.6,31.38,10.19,956,0,1.62,0,875,/image/side_image/마늘쫑조림.png,2025-04-11 14:57:23,"['조림요리', '고당', '중간칼로리', '중단백', '고지방']"
SD-121,삶은 땅콩 조림,반찬,65.5,124.5,6.8,9.74,21.15,3.82,756,0,1.35,0,750,/image/side_image/삶은 땅콩 조림.png,2025-04-11 14:57:24,"['조림요리', '콩', '중간칼로리', '중단백', '중간당', '고지방']"
SD-122,임연수조림,반찬,56,80.6,15.9,5.54,6.95,3.92,287,50.97,1.18,0,750,/image/side_image/임연수조림.png,2025-04-11 14:57:24,"['조림요리', '중지방', '중간당', '고단백', '저칼로리']"
SD-123,무_어묵조림,반찬,65.7,73.6,6.3,3.06,14.92,4.44,622,9.12,0.53,0,750,/image/side_image/무 어묵조림.png,2025-04-11 14:57:24,"['조림요리', '중지방', '중간당', '저칼로리', '무', '중단백']"
